,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,RB50392,Washington,NAN,Master,5881.74235,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934
1,QZ44356,Arizona,F,Bachelor,6979.5359,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
2,AI49188,Nevada,F,Bachelor,12887.4317,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
3,WW63253,California,M,Bachelor,7645.861800000001,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
4,GA49547,Washington,M,High School or Below,5363.0765,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
5,OC83172,Oregon,F,Bachelor,8256.2978,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
6,XZ87318,Oregon,F,College,5380.8985999999995,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
7,CF85061,Arizona,M,Master,7216.1003,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
8,DY87989,Oregon,M,Bachelor,24127.504,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
9,BQ94931,Oregon,F,College,7388.178100000001,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
10,SX51350,California,M,College,4738.992,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
11,VQ65197,California,NAN,College,8197.1971,0.0,110.0,0.0,Personal Auto,SUV,528.0
12,DP39365,California,NAN,Master,8798.796999999999,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
13,SJ95423,Arizona,NAN,High School or Below,8819.018900000001,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
14,IL66569,California,NAN,College,5384.4317,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
15,BW63560,Oregon,NAN,Bachelor,7463.139399999999,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
16,FV94802,Nevada,NAN,High School or Below,2566.8678,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
17,OE15005,California,NAN,College,3945.2416,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
18,WC83389,Oregon,NAN,College,5710.333100000001,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
19,FL50705,California,NAN,High School or Below,8162.6170999999995,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
20,ZK25313,Oregon,NAN,High School or Below,2872.0513,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
21,QK46697,Washington,M,Bachelor,6177.1093,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
22,YH23384,Arizona,NAN,Bachelor,24127.504,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
23,TZ98966,Nevada,NAN,Bachelor,2450.1910000000003,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
24,HM55802,California,NAN,Bachelor,2392.1079,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
25,FS42516,Oregon,NAN,College,5802.066,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
26,US89481,California,NAN,Bachelor,3946.3721,0.0,111.0,0.0,Personal Auto,Four-Door Car,799.2
27,HS14476,Washington,M,College,9162.063199999999,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
